iter	Passed	Remaining
0	20	20655
1	23	11775
2	25	8471
3	27	6801
4	28	5710
5	30	5049
6	32	4608
7	34	4234
8	36	4072
9	38	3831
10	40	3611
11	41	3401
12	42	3239
13	44	3100
14	44	2940
15	45	2828
16	47	2730
17	48	2644
18	49	2564
19	52	2571
20	53	2503
21	54	2440
22	56	2383
23	57	2326
24	58	2277
25	59	2222
26	60	2178
27	61	2137
28	62	2099
29	63	2063
30	65	2053
31	66	2023
32	67	1991
33	68	1959
34	69	1928
35	71	1902
36	71	1873
37	72	1842
38	73	1817
39	74	1793
40	75	1769
41	76	1748
42	77	1724
43	78	1711
44	80	1705
45	80	1678
46	81	1658
47	82	1637
48	83	1619
49	84	1603
50	85	1586
51	85	1563
52	86	1546
53	86	1523
54	87	1508
55	88	1492
56	89	1477
57	90	1464
58	90	1451
59	91	1438
60	92	1424
61	93	1408
62	95	1414
63	96	1410
64	97	1398
65	97	1386
66	98	1373
67	99	1362
68	100	1354
69	101	1344
70	101	1333
71	102	1324
72	103	1314
73	104	1304
74	105	1295
75	105	1284
76	106	1280
77	107	1271
78	108	1265
79	110	1266
80	111	1262
81	112	1254
82	112	1246
83	113	1237
84	114	1230
85	115	1222
86	115	1215
87	116	1206
88	117	1198
89	117	1191
90	118	1181
91	119	1176
92	120	1170
93	122	1176
94	122	1171
95	123	1163
96	124	1156
97	124	1149
98	125	1142
99	126	1136
100	126	1129
101	127	1120
102	127	1114
103	128	1107
104	129	1100
105	129	1095
106	130	1088
107	131	1083
108	131	1077
109	132	1071
110	133	1065
111	133	1059
112	134	1053
113	134	1047
114	136	1049
115	137	1045
116	137	1041
117	138	1036
118	139	1031
119	139	1026
120	140	1021
121	141	1016
122	141	1011
123	142	1006
124	143	1002
125	143	997
126	144	993
127	145	989
128	145	985
129	146	981
130	147	977
131	148	973
132	148	969
133	149	964
134	150	961
135	150	958
136	151	955
137	152	951
138	152	946
139	153	942
140	154	939
141	154	935
142	155	931
143	156	927
144	156	923
145	157	920
146	158	918
147	159	915
148	159	912
149	160	908
150	161	905
151	161	902
152	162	898
153	163	896
154	164	895
155	165	893
156	165	889
157	166	885
158	166	880
159	167	877
160	167	874
161	168	871
162	169	868
163	169	865
164	170	862
165	170	858
166	171	856
167	172	853
168	173	850
169	173	848
170	174	844
171	174	841
172	175	839
173	176	836
174	176	834
175	177	832
176	179	832
177	179	830
178	180	828
179	181	825
180	181	823
181	182	820
182	183	817
183	183	815
184	184	812
185	185	810
186	185	808
187	186	805
188	187	803
189	187	801
190	188	799
191	189	796
192	189	794
193	190	791
194	191	789
195	192	787
196	193	788
197	194	786
198	194	784
199	195	782
200	196	780
201	196	777
202	197	775
203	198	773
204	198	771
205	199	770
206	200	769
207	201	767
208	202	766
209	203	764
210	204	763
211	204	761
212	205	759
213	206	758
214	208	759
215	209	759
216	209	757
217	210	755
218	211	754
219	212	752
220	213	751
221	213	749
222	214	747
223	215	746
224	216	744
225	216	742
226	217	740
227	218	739
228	219	737
229	219	736
230	220	734
231	222	737
232	224	737
233	225	737
234	226	736
235	227	735
236	228	734
237	228	732
238	229	731
239	230	730
240	231	729
241	232	727
242	233	726
243	233	724
244	234	723
245	235	721
246	237	723
247	238	723
248	239	722
249	240	720
250	241	719
251	241	718
252	242	716
253	243	715
254	244	713
255	244	711
256	245	710
257	246	709
258	247	707
259	247	705
260	248	703
261	249	702
262	250	701
263	251	701
264	252	700
265	253	699
266	254	697
267	254	695
268	255	693
269	256	692
270	256	690
271	257	688
272	257	687
273	258	685
274	259	683
275	259	681
276	260	680
277	261	678
278	261	676
279	262	675
280	263	674
281	264	673
282	265	672
283	267	673
284	268	672
285	268	671
286	269	669
287	270	667
288	270	666
289	271	664
290	272	663
291	272	661
292	273	659
293	274	658
294	274	656
295	275	655
296	276	653
297	276	651
298	277	650
299	278	649
300	278	647
301	279	645
302	280	646
303	281	645
304	282	643
305	283	642
306	283	640
307	284	639
308	285	638
309	285	636
310	286	635
311	287	633
312	287	631
313	288	630
314	289	628
315	289	627
316	290	625
317	291	624
318	291	622
319	292	621
320	293	620
321	293	618
322	294	617
323	296	617
324	296	616
325	297	615
326	298	613
327	298	612
328	299	610
329	300	609
330	300	608
331	301	606
332	302	605
333	302	603
334	303	602
335	304	600
336	304	599
337	306	599
338	307	598
339	308	598
340	308	596
341	310	597
342	311	596
343	312	595
344	313	594
345	313	593
346	314	591
347	315	590
348	316	589
349	316	588
350	317	586
351	318	585
352	318	584
353	319	583
354	320	582
355	321	581
356	321	579
357	322	578
358	323	577
359	325	578
360	326	577
361	326	576
362	327	574
363	328	573
364	329	572
365	330	571
366	330	570
367	331	569
368	332	569
369	333	568
370	334	566
371	335	565
372	335	564
373	336	563
374	337	561
375	337	560
376	339	560
377	340	559
378	340	558
379	341	557
380	342	555
381	342	554
382	343	553
383	344	552
384	344	550
385	345	549
386	346	548
387	347	548
388	348	547
389	349	547
390	350	546
391	351	545
392	353	545
393	354	545
394	355	544
395	356	543
396	357	542
397	358	541
398	358	540
399	359	539
400	360	538
401	361	537
402	361	535
403	362	534
404	363	533
405	363	532
406	364	530
407	365	529
408	365	528
409	366	527
410	367	527
411	368	526
412	369	525
413	370	523
414	370	522
415	371	521
416	372	520
417	372	518
418	373	517
419	374	516
420	374	515
421	375	514
422	376	512
423	376	511
424	377	510
425	378	509
426	378	508
427	379	506
428	379	505
429	380	504
430	381	503
431	382	503
432	383	501
433	384	500
434	384	499
435	385	498
436	386	497
437	386	496
438	387	495
439	388	494
440	389	493
441	390	492
442	390	491
443	391	490
444	392	489
445	393	488
446	394	487
447	394	486
448	395	485
449	397	485
450	398	484
451	398	483
452	399	482
453	400	481
454	401	481
455	402	480
456	403	479
457	404	478
458	405	477
459	405	476
460	406	475
461	407	474
462	408	473
463	409	472
464	410	471
465	412	472
466	413	471
467	413	470
468	414	469
469	415	468
470	416	467
471	416	466
472	417	465
473	418	463
474	418	462
475	419	461
476	420	460
477	420	459
478	421	458
479	422	457
480	422	456
481	423	455
482	424	453
483	424	452
484	425	452
485	426	451
486	427	450
487	428	449
488	429	449
489	430	448
490	431	447
491	432	446
492	433	445
493	434	445
494	435	444
495	436	443
496	437	442
497	438	441
498	439	440
499	440	440
500	441	440
501	442	439
502	443	438
503	444	437
504	444	436
505	445	435
506	446	434
507	447	433
508	448	432
509	448	431
510	449	430
511	450	429
512	451	428
513	451	427
514	452	426
515	453	425
516	454	424
517	455	423
518	456	423
519	457	422
520	458	421
521	459	420
522	460	419
523	460	418
524	461	417
525	462	416
526	463	415
527	463	414
528	464	413
529	465	412
530	466	411
531	466	410
532	467	409
533	468	408
534	469	407
535	472	408
536	473	408
537	474	407
538	475	406
539	476	405
540	477	404
541	477	403
542	478	402
543	479	401
544	480	400
545	481	400
546	481	399
547	482	398
548	484	397
549	485	397
550	486	396
551	486	395
552	487	394
553	488	392
554	488	391
555	489	390
556	490	389
557	490	388
558	491	387
559	492	386
560	492	385
561	493	384
562	494	383
563	494	382
564	495	381
565	496	380
566	496	379
567	497	378
568	498	377
569	499	377
570	500	375
571	501	374
572	501	373
573	502	372
574	503	371
